license_plate,Model,Vin,Purchase_date,OwnerID
¼ªJ69366,Model C,7FCDFJF9L5DO4L3AP,2021/5/25,62
ÓåD81150,Model B,ALCT7V9RJPN08ST29,2018/5/16,70
ÇíL99709,Model B,IH99WII3YLS0DFUBF,2015/8/25,61
¼½O38514,Model A,RB0LBTA6KC5GL6XRF,2015/12/19,91
¶õV83466,Model D,D1MTWVDX0AELDDC7T,2017/5/14,95
Â³L66265,Model C,XTB8ROUH0R3FWQVRZ,2022/4/11,21
¼½L57760,Model D,OZV1KVYJGVZZJ1CI4,2015/6/24,77
ÕãI23764,Model D,YJIHPAT72TR7FIZM2,2017/2/22,38
ÃöZ06633,Model D,ZFBC80GYZ6991XSSS,2017/9/17,57
ÇàV94014,Model B,PREB5TK0XPLB6SE98,2021/5/19,38
¸ÓA44780,Model C,W8RIQI7HIMPQSY9YX,2021/8/2,32
¶õP15026,Model C,S7DYQWK4BX6YKR5LH,2021/11/7,100
¼ªE92496,Model A,3F3JJS1IOVYRC3J6C,2021/10/7,70
ÇàS66275,Model A,F5S4BG0SF7PTR2ZEC,2020/12/25,2
ÓåV02088,Model A,IUCRMVVU3O6RZJGXU,2016/8/5,23
ºÚB11992,Model A,L1C8I4Y45XJTZRI05,2019/8/25,99
ÏæD32461,Model D,SUBRYGNI1ETYVS0F9,2016/1/3,21
¸ÊJ91635,Model D,WCSATQK21F9Z3KLU8,2023/9/24,28
Â³I27734,Model D,T7PMVL1FRT8N528SI,2015/11/1,33
ÉÂX75593,Model B,F8YYM2ALGV7WMBNY3,2017/8/14,17
ÐÂU06613,Model B,B0DWE6PSAWW0OUZZE,2019/10/1,12
¶õP96584,Model B,2075HJA2Y0DPWYNGO,2019/2/4,85
ÕãN79547,Model B,DES6K2FPNMFN43LN4,2018/5/21,85
¼ªK08721,Model D,3SBU7BMAIKN9EQCWF,2021/1/9,15
ÃÉC22763,Model B,8UAR1J6A94X6TVEFE,2018/3/7,2
ÁÉB79300,Model A,K9MDMQHS771G7ZB9S,2022/2/11,62
¹ðX55108,Model A,NHL1OCLI3R12O6Z5M,2017/9/11,6
